Game Completed Date,Team,Outcome,Task Completed,All Tasks Completed,Murdered,Game Length,Ejected,Sabotages Fixed,Time to complete all tasks,Rank Change,Region/Game Code,User,Time_of_Day,Date
11/20/2020 at 10:38:40 pm EST,Crewmate,Loss,5,No,No,14m 01s,No,2.0,-,---,NA / THCKMF,3,Evening,11/20/2020
11/20/2020 at 10:22:43 pm EST,Crewmate,Win,6,No,Yes,06m 36s,No,0.0,-,++,NA / OXCPGF,3,Evening,11/20/2020
11/20/2020 at 9:55:31 pm EST,Crewmate,Win,6,No,No,14m 56s,No,0.0,-,++,NA / OXCPGF,3,Evening,11/20/2020
11/20/2020 at 9:34:27 pm EST,Crewmate,Win,1,No,No,03m 34s,No,0.0,-,,NA / USGLIF,3,Evening,11/20/2020
12/12/2020 at 11:36:50 pm EST,Crewmate,Win,4,No,No,01m 42s,No,0.0,01m 41s,,NA / LZNNIF,4,Evening,12/12/2020
12/12/2020 at 11:34:45 pm EST,Crewmate,Win,4,No,No,01m 54s,No,0.0,01m 30s,,NA / LZNNIF,4,Evening,12/12/2020
12/12/2020 at 11:32:28 pm EST,Crewmate,Win,4,No,No,01m 37s,No,0.0,01m 16s,,NA / LZNNIF,4,Evening,12/12/2020
12/12/2020 at 11:30:21 pm EST,Crewmate,Loss,4,No,Yes,02m 41s,No,0.0,01m 09s,,NA / LZNNIF,4,Evening,12/12/2020
12/12/2020 at 11:27:22 pm EST,Crewmate,Win,4,No,No,02m 14s,No,1.0,01m 28s,,NA / LZNNIF,4,Evening,12/12/2020
12/12/2020 at 11:24:46 pm EST,Crewmate,Win,4,No,Yes,01m 55s,No,0.0,01m 16s,,NA / LZNNIF,4,Evening,12/12/2020
12/12/2020 at 11:22:22 pm EST,Crewmate,Win,4,No,Yes,02m 07s,No,0.0,01m 19s,,NA / LZNNIF,4,Evening,12/12/2020
12/12/2020 at 11:19:39 pm EST,Crewmate,Loss,4,No,Yes,02m 31s,No,0.0,01m 12s,,NA / LZNNIF,4,Evening,12/12/2020
12/12/2020 at 11:16:47 pm EST,Crewmate,Loss,4,No,Yes,02m 33s,No,0.0,01m 44s,,NA / LZNNIF,4,Evening,12/12/2020
12/12/2020 at 11:13:37 pm EST,Crewmate,Win,4,No,No,01m 41s,No,0.0,00m 41s,,NA / LZNNIF,4,Evening,12/12/2020
12/12/2020 at 11:11:09 pm EST,Crewmate,Win,4,No,No,02m 14s,No,0.0,01m 04s,,NA / LZNNIF,4,Evening,12/12/2020
12/12/2020 at 10:55:18 pm EST,Crewmate,Loss,0,No,Yes,02m 56s,No,0.0,-,,NA / LZNNIF,4,Evening,12/12/2020
12/12/2020 at 10:51:36 pm EST,Crewmate,Loss,1,No,Yes,03m 49s,No,0.0,-,,NA / LZNNIF,4,Evening,12/12/2020
12/12/2020 at 10:47:02 pm EST,Crewmate,Loss,5,Yes,No,05m 26s,Yes,0.0,04m 07s,--,NA / LZNNIF,4,Evening,12/12/2020
12/12/2020 at 10:39:12 pm EST,Crewmate,Win,3,No,No,05m 43s,No,2.0,-,++,NA / GNZLNF,4,Evening,12/12/2020
12/12/2020 at 10:28:37 pm EST,Crewmate,Win,3,No,Yes,07m 14s,No,0.0,-,++,NA / GNZLNF,4,Evening,12/12/2020
12/12/2020 at 10:20:08 pm EST,Crewmate,Loss,3,No,Yes,05m 28s,No,1.0,-,---,NA / GNZLNF,4,Evening,12/12/2020
12/12/2020 at 10:04:43 pm EST,Crewmate,Win,5,Yes,Yes,10m 08s,No,0.0,05m 01s,++,NA / GNZLNF,4,Evening,12/12/2020
12/12/2020 at 9:52:55 pm EST,Crewmate,Win,5,Yes,Yes,10m 24s,No,2.0,09m 43s,++,NA / GNZLNF,4,Evening,12/12/2020
12/12/2020 at 12:56:47 am EST,Crewmate,Loss,0,No,No,04m 14s,Yes,0.0,-,,NA / GHEEJF,4,Night,12/12/2020
12/12/2020 at 12:50:47 am EST,Crewmate,Loss,2,No,Yes,01m 10s,No,0.0,-,,NA / GHEEJF,4,Night,12/12/2020
12/12/2020 at 12:42:31 am EST,Crewmate,Win,2,No,No,05m 47s,No,0.0,-,++,NA / GHEEJF,4,Night,12/12/2020
12/12/2020 at 12:35:54 am EST,Crewmate,Win,2,No,No,03m 21s,No,0.0,-,,NA / GHEEJF,4,Night,12/12/2020
