User,Team,Outcome,Game Length,Imposter Kills,Ejected,Night,Morning,Afternoon,Evening
23,0,1,465,2,0,0,0,0,1
23,0,0,290,1,1,0,0,0,1
23,0,1,488,1,0,0,0,0,1
23,0,1,718,2,0,1,0,0,0
23,0,0,920,1,1,1,0,0,0
23,0,1,470,2,0,0,0,0,1
23,0,1,974,1,0,0,0,0,1
24,0,1,378,2,0,0,1,0,0
24,0,0,635,3,1,0,1,0,0
24,0,1,757,4,0,0,1,0,0
24,0,1,234,6,0,0,0,1,0
24,0,1,227,6,0,0,0,1,0
24,0,0,717,2,0,0,0,1,0
24,0,0,383,1,0,0,0,1,0
25,0,1,327,2,0,0,0,0,1
25,0,0,890,2,0,0,0,1,0
25,0,0,750,3,0,0,1,0,0
25,0,0,696,2,0,0,1,0,0
25,0,0,669,1,0,0,1,0,0
25,0,1,947,1,0,0,1,0,0
25,0,1,897,2,0,1,0,0,0
25,0,0,893,4,0,0,0,0,1
25,0,1,643,4,0,0,0,0,1
25,0,1,436,2,0,0,0,0,1
25,0,1,513,2,0,0,0,0,1
25,0,1,665,2,0,0,0,0,1
25,0,0,545,3,0,0,0,1,0
25,0,1,663,2,0,0,0,0,1
25,0,0,941,3,0,0,0,0,1
25,0,0,1049,3,0,0,0,0,1
